Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry
Vivien Chen,1.3,Hong Kong,real estate,2263,62,"Hong Kong, Hong Kong",Hong Kong,,3,,FALSE,POINT (114.1628131 22.2793278)
Cheng Lili,1.3,China,poultry breeding,2263,56,"Changzhou, China",China,Married,,,TRUE,POINT (119.9691539 31.8122623)
Cho Jung-ho,1.3,South Korea,finance,2263,62,"Seoul, South Korea",South Korea,Married,3,"Master of Business Administration, IMD; Bachelor of Arts/Science, University of Southern California",FALSE,POINT (126.9782914 37.5666791)
Cho Jyh-jer,1.3,Taiwan,semiconductors,2263,,,Taiwan,Married,2,,TRUE,POINT (120.9820179 23.9739374)
Chu Jian,1.3,China,Manufacturing,2263,58,"Hangzhou, China",China,,,,TRUE,POINT (120.2052342 30.2489634)
Eduard Chukhlebov,1.3,Russia,metallurgy,2263,57,"Moscow, Russia",Russia,Married,,,TRUE,POINT (37.6174943 55.7504461)
Turgay Ciner,1.3,Turkey,diversified,2263,65,"Istanbul, Turkey",Turkey,Married,1,"Bachelor of Arts/Science, Istanbul Academy",TRUE,POINT (28.9651646 41.0096334)
Tim Cook,1.3,United States,Apple,2263,60,"Cupertino, California",United States,,,"Master of Business Administration, Fuqua School of Business",TRUE,POINT (-122.0322895 37.3228934)
Richard Desmond,1.3,United Kingdom,publishing,2263,69,"London, United Kingdom",United Kingdom,Married,3,,TRUE,POINT (-0.1276474 51.5073219)
Du Shuanghua,1.3,China,steel,2263,56,"Hengshui, China",China,,,,TRUE,POINT (115.6677229 37.7364305)
Egon Durban,1.3,United States,private equity,2263,47,"Atherton, California",United States,Married,3,"Bachelor of Science, Georgetown University",TRUE,POINT (-122.2058272 37.453773)
Eduardo Eurnekian,1.3,Argentina,"airports, investments",2263,88,"Buenos Aires, Argentina",Argentina,Single,,,TRUE,POINT (-58.4370894 -34.6075682)
Fan Minhua,1.3,China,pharmaceuticals,2263,59,"Haikou, China",China,Married,,,TRUE,POINT (110.1956502 20.0462328)
Feng Chenhui,1.3,United States,Electronics,2263,55,"Wuxi, China",United States,,,"Master, Tsinghua University",TRUE,POINT (120.3074357 31.4933074)
Feng Yi,1.3,China,software,2263,47,"Shenzhen, China",China,,,,TRUE,POINT (114.0543297 22.555454)
John Goff,1.3,United States,real estate,2263,66,"Fort Worth, Texas",United States,Married,,"Chartered Accountant, University of Texas",TRUE,POINT (-97.33274590000001 32.753177)
Kenneth Hao,1.3,United States,private equity,2263,52,"Hillsborough, California",United States,,,,TRUE,POINT (-122.3625291 37.557252)
Ayman Hariri,1.3,Lebanon,"construction, investments",2263,42,"Paris, France",Lebanon,Married,3,"Bachelor of Arts/Science, Georgetown University",FALSE,POINT (2.3514616 48.8566969)
Michael Heine,1.3,Australia,financial services,2263,71,"Melbourne, Australia",Australia,,2,,TRUE,POINT (144.960964 -37.8077694)
